Portfolio_Type,Ticker,Weight,Portfolio_Return,Portfolio_Volatility,Portfolio_Sharpe
Max Sharpe,AAPL,2.6467359020820644e-16,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,AMZN,0.0,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,DIS,0.0,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,GOOGL,0.4803448378749763,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,JPM,0.4602410308965342,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,MSFT,1.174143335818716e-16,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,NVDA,0.023425351213221892,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,TSLA,0.0,0.32783603679816514,0.22548775101448162,1.2765040916997719
Max Sharpe,V,0.03598878001526754,0.32783603679816514,0.22548775101448162,1.2765040916997719
Min Volatility,AAPL,0.06125058763010367,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,AMZN,1.478879382259614e-17,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,DIS,0.1199396602126706,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,GOOGL,0.1164597991136754,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,JPM,0.136710177087543,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,MSFT,0.21817050076838332,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,NVDA,1.1082177645411323e-17,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,TSLA,0.0,0.14935281129068206,0.17625119977582346,0.6204372590357939
Min Volatility,V,0.3474692751876241,0.14935281129068206,0.17625119977582346,0.6204372590357939
Asset: AAPL,AAPL,1.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,AMZN,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,DIS,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,GOOGL,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,JPM,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,MSFT,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,NVDA,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,TSLA,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AAPL,V,0.0,0.20284369120853862,0.2839212558998108,0.5735523065803934
Asset: AMZN,AAPL,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,AMZN,1.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,DIS,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,GOOGL,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,JPM,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,MSFT,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,NVDA,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,TSLA,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: AMZN,V,0.0,0.15455898766353435,0.3280770063200249,0.34918322667144497
Asset: DIS,AAPL,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,AMZN,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,DIS,1.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,GOOGL,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,JPM,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,MSFT,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,NVDA,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,TSLA,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: DIS,V,0.0,0.048277934814733886,0.27836705254435734,0.02973748056413684
Asset: GOOGL,AAPL,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,AMZN,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,DIS,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,GOOGL,1.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,JPM,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,MSFT,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,NVDA,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,TSLA,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: GOOGL,V,0.0,0.3786121102266839,0.31012369454497585,1.0918614610325317
Asset: JPM,AAPL,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,AMZN,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,DIS,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,GOOGL,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,JPM,1.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,MSFT,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,NVDA,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,TSLA,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: JPM,V,0.0,0.28693702457847514,0.25400304567764503,0.9721813528640229
Asset: MSFT,AAPL,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,AMZN,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,DIS,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,GOOGL,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,JPM,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,MSFT,1.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,NVDA,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,TSLA,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: MSFT,V,0.0,-0.04877296952365644,0.2630669173513232,-0.33745394676557156
Asset: NVDA,AAPL,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,AMZN,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,DIS,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,GOOGL,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,JPM,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,MSFT,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,NVDA,1.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,TSLA,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: NVDA,V,0.0,0.3353922686258387,0.4763440841437632,0.6201237266477476
Asset: TSLA,AAPL,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,AMZN,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,DIS,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,GOOGL,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,JPM,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,MSFT,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,NVDA,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,TSLA,1.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: TSLA,V,0.0,0.38919971227548494,0.611599606402651,0.57096130968663
Asset: V,AAPL,0.0,0.16824105763285674,0.2241600315865037,0.572096000902678
Asset: V,AMZN,0.0,0.16824105763285674,0.2241600315865037,0.572096000902678
Asset: V,DIS,0.0,0.16824105763285674,0.2241600315865037,0.572096000902678
Asset: V,GOOGL,0.0,0.16824105763285674,0.2241600315865037,0.572096000902678
Asset: V,JPM,0.0,0.16824105763285674,0.2241600315865037,0.572096000902678
