Ticker,Date,Headline,Link,Sentiment_Score,Sentiment_Label
AAPL,2026-07-09 03:18:33,Why Broadcom Stock Rose Today,https://www.fool.com/investing/2026/07/08/why-broadcom-stock-is-up-today/?.tsrc=rss,0.0,Neutral
AAPL,2026-07-09 02:03:00,Broadcom gets $30 billion Apple boost as valuation debate grows,https://www.thestreet.com/investing/stocks/broadcom-gets-30-billion-apple-boost-as-valuation-debate-grows?.tsrc=rss,0.4019,Positive
AAPL,2026-07-09 00:21:00,"Apple scores record 89 Emmy Award nominations, with top category nods for celebrated comedies Widow’s Bay, Shrinking, and Margo’s Got Money Troubles, and global hit dramas Pluribus, Slow Horses, and Your Friends & Neighbors",https://finance.yahoo.com/media-advertising/articles/apple-scores-record-89-emmy-002100913.html?.tsrc=rss,0.8957,Positive
AAPL,2026-07-09 00:02:44,Why Broadcom (AVGO) Stock Is Trading Up Today,https://finance.yahoo.com/markets/stocks/articles/why-broadcom-avgo-stock-trading-000244384.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-09 00:01:08,"Trump Announced His AI Action Plan Declaring  ‘America Is Going to Win’ — The Same Day He Bought Millions in Nvidia, Apple and Microsoft",https://finance.yahoo.com/technology/ai/articles/trump-announced-ai-action-plan-000108213.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 23:13:07,Apple (AAPL) Secures Largest Ever US Chip Deal With Broadcom For $30 Billion,https://finance.yahoo.com/markets/stocks/articles/apple-aapl-secures-largest-ever-231307290.html?.tsrc=rss,0.3182,Positive
AAPL,2026-07-08 22:00:20,"Dow Ends Lower To Record Worst Day In Nearly A Month As US-Iran Jitters Push Oil Prices — TSLA, NVDA, BE, AAPL, WBD  In Focus",https://stocktwits.com/news-articles/markets/equity/dow-ends-lower-to-record-worst-day-in-nearly-a-month-as-us-iran-jitters-push-oil-prices-tsla-nvda-be-aapl-wbd-in-focus/cZmn5ZFR7VB?.tsrc=rss,-0.743,Negative
AAPL,2026-07-08 20:50:00,"Micron, Broadcom, Palantir, Delta, SpaceX, and More Stocks That Explain Today’s Market",https://finance.yahoo.com/m/ee22eb1b-8aea-3ddf-9562-a1cf94ef28af/micron%2C-broadcom%2C-palantir%2C.html?.tsrc=rss,0.0,Neutral
AAPL,2026-07-08 20:40:02,Update: Dow Logs Worst Day in 4 Weeks Amid Renewed US-Iran Tensions,https://finance.yahoo.com/markets/stocks/articles/dow-logs-worst-day-4-204002072.html?.tsrc=rss,-0.7783,Negative
AAPL,2026-07-08 20:25:30,Apple Deal With Broadcom Bolsters Its Made-In-America Goals,https://finance.yahoo.com/m/40d8088c-9cd4-31a6-9a93-596aca4a9adb/apple-deal-with-broadcom.html?.tsrc=rss,0.0,Neutral
